Id Days	Concentration	Concentration.encoded Proportion
  1    1     20 0	0.990

  1    2   20 0	0.950

  1    3   20 0	0.950

  1    8   20 0	0.500

  1   16   20 0	0.375

  1   33   20 0	0.225

  1   61   20 0	0.050

  2    1   15 -1 1.000

  2    2   15 -1 0.950

  2    3   15 -1 0.900

  2    4   15 -1 0.900

  2   12   15 -1 0.550

  2   21   15 -1 0.475

  2   29   15 -1 0.250

  2   44   15 -1 0.050

  3    1   25 1 0.990

  3    2   25 1 0.990

  3    3   25 1 0.950

  3    4   25 1 0.900

  3    7   25 1 0.875

  3   12   25 1 0.725

  3   15   25 1 0.725

  3   19   25 1 0.550

  3   25   25 1 0.500

  3   28   25 1 0.500

  3   31   25 1 0.500

  4    1   20 0 1.000

  4   10   20 0 0.850

  4   24   20 0 0.475

  4   30   20 0 0.500

  4   44   20 0 0.100

  5    2   15 -1 0.600

  5   15   15 -1 0.350

  5   22   15 -1 0.300

  6    1   20 0 0.950

  6    4   20 0 0.850

  6    8   20 0 0.750

  6   22   20 0 0.450

  7    1   20 0 1.000

  7    3   20 0 1.000

  7    5   20 0 1.000

  7    8   20 0 1.000

  7   13   20 0 0.980

  7   21   20 0 0.750

  7   35   20 0 0.750

  7   54   20 0 0.700

  8    1   25 1 1.000

  8    9   25 1 0.975

  8   20   25 1 0.600

  8   49   25 1 0.100
  9    1   25 1 1.000

  9    2   25 1 1.000

  9    6   25 1 1.000

  9   12   25 1 1.000

  9   19   25 1 0.900

  9   25   25 1 0.850

 10    1   20 0 1.000

 10    2   20 0 1.000

 10    4   20 0 0.970

 10   13   20 0 0.950

 10   22   20 0 0.900

 10   34   20 0 0.825

 11    1   20 0 0.825

 11    2   20 0 0.750

 11    3   20 0 0.750

 11    9   20 0 0.775

 11   20   20 0 0.600

 11   30   20 0 0.300

 11   37   20 0 0.300

 12    1   15 -1 0.400

 12    2   15 -1 0.400

 12    3   15 -1 0.300

 12    4   15 -1 0.300

 12   18   15 -1 0.300

 13    1   20 0 0.900

 13    3   20 0 0.900

 13   10   20 0 0.900

 13   24   20 0 0.600
 14    1   15 -1 0.725

 14   11   15 -1 0.650

 14   32   15 -1 0.275

 15    3   25 1 0.400

 15    4   25 1 0.400

 15    8   25 1 0.400

 15   21   25 1 0.200

 16    1   15 -1 1.000

 16   10   15 -1 1.000

 16   24   15 -1 0.850

 16   29   15 -1 0.800

 16   36   15 -1 0.750

 17    1   20 0 0.650

 17    2   20 0 0.550

 17    4   20 0 0.600

 17   13   20 0 0.250

 17   19   20 0 0.250

  17   31   20 0 0.225

  18    1   25 1 0.980

  18    2   25 1 0.980

  18    3   25 1 0.980

  18    4   25 1 0.900

  18    7   25 1 0.875

  18   10   25 1 0.775

  18   25   25 1 0.425

  18   31   25 1 0.375

  18   40   25 1 0.200

  18   47   25 1 0.175

  18   61   25 1 0.075

  19    1   25 1 0.825

  19   64   25 1 0.100

  19   67   25 1 0.100

  20    1   25 1 0.850

  20    2   25 1 0.850

  20    3   25 1 0.800

  20    4   25 1 0.875

  20   11   25 1 0.800

  20   40   25 1 0.425

  21    1   25 1 1.000

  21    3   25 1 1.000

  21    8   25 1 0.850

  21   15   25 1 0.800

  21   21   25 1 0.600

  21   31   25 1 0.200

  22    1   15 -1 0.825

  22    6   15 -1 0.750

  22   12   15 -1 0.450

  22   26   15 -1 0.150

  23    1   25 1 1.000

  23    9   25 1 0.950

  23   26   25 1 0.700

  23   33   25 1 0.400

  23   40   25 1 0.125

  23   44   25 1 0.150

  23   54   25 1 0.100

  24    1   20 0 1.000

  24    8   20 0 0.990

  24   15   20 0 0.700

  24   22   20 0 0.450

  24   29   20 0 0.150

  24   38   20 0 0.050

  25    1   20 0 0.500

  25    4   20 0 0.400

  25    7   20 0 0.300

  25   13   20 0 0.200

  25   20   20 0 0.000

  26    1   20 0 0.900

  26    4   20 0 1.000

  26   14   20 0 0.900

  26   29   20 0 0.750

  26   78   20 0 0.000

  27    1   15 -1 0.750

  27    4   15 -1 0.750

  27    9   15 -1 0.750

  27   23   15 -1 0.500

  27   36   15 -1 0.200

  27   54   15 -1 0.000

  28    1   20 0 0.900

  28    2   20 0 0.900

  28   25   20 0 0.250

  29    1   20 0 0.950

  29    5   20 0 0.600

  29   13   20 0 0.350

  29   27   20 0 0.225

  29   33   20 0 0.200

  30    1   20 0 1.000

  30    3   20 0 0.900

  30    9   20 0 0.600

  31    1   25 1 0.900

  31    2   25 1 0.900

  31    3   25 1 0.900

  31    4   25 1 0.900

  31    5   25 1 0.900

  31    7   25 1 0.950

  31    9   25 1 0.950

  31   11   25 1 0.800

  31   15   25 1 0.800

  31   18   25 1 0.750

  31   24   25 1 0.500
 
  31   28   25 1 0.450

  31   36   25 1 0.330

  31   42   25 1 0.125
  31   49   25 1 0.125
