y x1 x2
6.160313 1.168256 3.816337
25.52209 -1.718673 4.853366
-4.496165 2.0662 -1.375973
11.48444 -3.586915 1.902173
0.6206632 -1.789701 -2.445758
7.388181 -3.232255 -2.769691
-23.03615 4.348898 -3.615543
8.603923 -3.21612 0.2970965
24.33923 -3.984205 2.233288
12.15459 3.256951 4.633627
-11.03548 -1.448023 -1.967631
9.813593 -4.81647 -2.353566
-10.06789 3.812069 0.2550251
-1.885377 2.532142 -0.9434125
33.52582 -1.41209 4.862438
-3.778086 -1.354237 -2.528889
1.671097 -1.566109 -3.577641
-7.925545 4.970035 -3.209405
24.43804 -1.823707 1.348639
-14.98743 -0.7863364 -3.762545
-2.423777 0.2259967 -0.6644884
-14.09493 1.881339 -0.49495
13.6765 -2.201421 1.612289
15.97471 -0.2310632 1.363445
22.66339 -1.087643 1.299882
-9.074232 2.787859 -3.18722
9.468873 5.078724 4.622629
-0.2361882 4.440492 2.337815
-4.609929 -4.48456 -2.845084
-14.06909 3.191827 -0.1003823
-0.2339119 5.763655 4.867118
16.93426 -1.175737 -1.500623
-15.44553 2.001444 -3.041036
25.79051 -3.001846 2.279481
-11.609 4.439157 -0.2854202
3.032108 4.675219 4.70567
-8.903136 4.923876 1.545653
-9.70406 2.016491 -3.783194
-9.18643 4.557617 4.110341
-17.82684 2.272065 -3.139019
4.192696 -3.506259 -3.633026
-10.30017 4.988793 -0.4209158
-14.73105 3.827368 -3.147424
17.0031 0.09359915 4.964828
-10.09842 3.061169 -2.061772
9.846017 -0.876858 1.393577
15.67476 -3.482898 1.197592
-7.436806 1.785407 -2.101571
15.27563 -3.9361 0.5696593
7.062529 4.64322 4.606401
-20.98122 5.004623 -3.871736
27.91196 -4.853509 -0.3240787
6.274325 -3.37182 -0.4565355
-12.30458 0.544199 -2.120732
23.83925 -1.996532 4.659731
27.77288 -1.341946 4.241106
7.123845 -1.28649 -0.7694154
12.69335 4.173361 3.44179
-16.18249 4.46178 -1.841393
-7.33692 0.6636966 -2.963078
31.87547 -3.568582 2.408948
33.20444 -4.425986 3.401898
25.71489 -2.8676 4.314809
7.010244 -2.961293 -1.070135
13.02349 -2.985983 -2.095783
20.5068 -4.280797 1.55257
-5.247629 2.944161 -0.3233507
4.100342 1.685291 -0.7219961
20.89838 -2.010319 4.387616
-15.70619 0.9423769 -1.971796
2.310057 1.756431 3.08021
-15.00631 -1.397549 -3.063427
5.287084 -1.979985 -0.6079211
-2.987688 2.468284 -2.164342
-3.206421 1.1131 -3.706432
1.207616 -2.590468 -3.168978
-10.2854 4.352895 -2.697303
26.48415 -2.804338 3.790957
-11.08864 4.862383 -1.0826
10.79563 -4.747826 -0.9706704
0.9930156 1.455885 1.302601
-7.730905 -2.901174 -2.707202
6.545035 5.775739 4.814242
8.540692 -0.01317238 -1.457943
5.378102 -3.238453 -3.889072
-1.532451 4.664634 4.043274
-19.42943 3.852123 -2.172199
9.764726 1.157477 3.184429
3.987919 -1.775235 1.265383
16.14027 -1.526072 0.2313774
-1.96309 0.6465538 -0.522515
23.86998 -2.228022 3.527115
10.65967 1.05723 2.575927
-12.70734 3.082947 -2.377676
16.44355 -2.376906 2.352693
6.561295 1.786831 2.956182
22.68959 -4.912123 2.695268
3.51587 1.571892 0.862512
-1.878888 -0.1609528 -2.820033
26.44236 -3.021483 3.518922
