peso	largo	alto
10.34	45	20.63
10.7	46.17	20.8
10.6	45.81	20.75
11.25	49.02	20.65
11.73	49.01	21.3
10.85	46.13	20.71
11.46	47.43	21.06
11.44	47.67	21.08
11.23	49.01	20.85
10.87	47.14	20.83
11.03	47.3	21.03
10.91	46.41	20.81
11.09	47.13	20.84
11.32	47.49	21.23
10.9	46.21	20.47
10.78	46.1	20.72
10.79	46.85	20.75
10.88	48.13	20.34
10.87	46.95	21.18
10.46	45.78	20.8
10.67	47.06	21.21
10.93	46.33	20.96
10.7	46.31	21.08
10.57	46.91	20.65
11.05	46.22	20.71
11.06	46.89	20.89
11.04	45.86	20.91
10.68	46.45	20.87
11.02	46.66	20.82
11.12	46.42	20.89
