embi	inf	tc	des	dext	resint	pib tact	tpas
2.11	2.01	1948.05	13.01	64791.91	25332.69	131382	3.99	9.3
2.08	2.1	1949.3	11.97	64791.91	26090.72	135121	3.7	8.96
1.81	2.28	1833.79	11.47	64791.91	26894.67	135783	3.5	8.72
1.58	2.7	1864.64	10.69	64791.91	28065.18	142638	3.46	8.36
1.51	3.25	1877.09	12.43	75621.8	29363.08	147084	3.51	9.85
1.48	3.03	1797.83	11.11	75621.8	30862.18	153027	3.91	10.64
1.77	3.47	1793.49	10.45	75621.8	32317.1	156701	4.44	11.31
2.01	3.9	1920.15	9.35	75621.8	32546.38	163082	4.97	11.65
1.75	3.5	1800.79	11.57	78784.11	32825.43	164329	5.25	12.59
1.65	3.36	1786.69	10.53	78784.11	33835.79	165155	5.46	12.46
1.35	3.07	1797.36	10.18	78784.11	35276.68	165130	5.39	12.29
1.17	2.76	1805.97	9.22	78784.11	36924.15	169626	5.32	11.78
1.29	1.91	1791.32	11.36	92029.3	38583.81	171378	4.84	11.48
1.51	2.06	1862.67	9.61	92029.3	40475.74	176044	4.04	10.38
1.8	2.25	1907.72	9.38	92029.3	42232.26	180218	4.04	10.81
1.79	1.85	1913.28	8.24	92029.3	43453.61	182857	4.04	10.44
1.83	2.32	2005.16	10.5	94122.82	44015.64	186939	3.96	10.55
1.49	2.81	1913.59	8.99	96119.67	45065.49	188001	3.85	10.33
1.5	2.92	1909.83	8.85	97937.09	46642.19	190483	4.12	11.09
1.82	3.53	2173.17	8.1	100701.6	47363.32	192083	4.34	10.72
2.19	4.25	2467.76	9.83	105288	47017.63	193885	4.44	11.24
2.14	4.49	2501.75	8.89	107028.2	47058.08	197874	4.44	11.06
2.68	4.85	2937.01	8.97	108494.9	46765.17	202536	4.47	11.16
2.94	6.35	3058.35	8.01	109697.4	46780.21	206554	4.96	11.94
