Idanimal	NParto	SexoCria	MesP	AnoP	Ppartomadre	Pdestetemadre	Raza	IEP
    4  1 M 11 2008 387 373 Bon NA
    5  1 M 10 2008 402 378 Bon NA
   18  1 M  9 2006 344 416 Bon  467
   18  2 M  1 2008 394 460 Bon  377
   18  3 M  1 2009 367 413 Bon  407
   18  4 M  2 2010 408 432 Bon  392
   18  5 H  3 2011 412 412 Bon  510
   18  6 M  8 2012 507 461 Bon  461
   18  7 M 11 2013 482 462 Bon  391
   18  8 M 12 2014 463 474 Bon NA
   30  1 H  2 2011 NA NA Bon  750
   30  2 M  3 2013 444 398 Bon  493
   30  3 H  7 2014 424 493 Bon NA
   33  1 H  2 2011 450 430 Bon  737
   33  2 M  3 2013 421 421 Bon  432
   33  3 M  5 2014 466 466 Bon NA
   39  1   5 2011 NA NA Bon  559
   39  2 H 12 2012 597 NA Bon NA
   46  1  11 2011 NA NA Bon  384
   46  2 M 12 2012 614 614 Bon  462
   46  3 M  3 2014 623 590 Bon NA
   52  1 H  7 2012 386 428 Bon  541
   52  2 M  1 2014 450 457 Bon  396
   52  3 H  2 2015 447 NA Bon NA
   54  1 M 12 2012 500 432 Bon  482
   54  2 M  4 2014 500 470 Bon NA
  560  1 M  4 1999 424 435 Bon  356
  560  2 M  3 2000 460 478 Bon  371
  560  3 M  3 2001 510 509 Bon  321
  560  4 M  2 2002 526 535 Bon  331
  560  5 H  1 2003 520 525 Bon  634
  560  6 M 10 2004 586 570 Bon  357
  560  7 H  9 2005 490 500 Bon  430
  560  8 M 12 2006 530 547 Bon  372
  560  9 M 12 2007 515 494 Bon  421
  560 10 H  2 2009 463 494 Bon  688
  560 11 M 12 2010 474 475 Bon NA
  563  1 M  2 1999 385 401 Bon  354
  563  2 H  2 2000 460 465 Bon  376
  563  3 H  2 2001 466 475 Bon  409
  563  4 M  3 2002 468 558 Bon  388
  563  5 M  4 2003 522 535 Bon  387
  563  6 M  5 2004 470 473 Bon  381
  563  7 H  5 2005 530 477 Bon  376
  563  8 H  6 2006 419 512 Bon  556
  563  9 M 12 2007 537 462 Bon  426
  563 10 H  2 2009 503 446 Bon NA
  573  1 M  5 2001 583 584 Bon  450
  573  2 H  8 2002 640 641 Bon NA
  573  4 H  8 2004 685 666 Bon  325
  573  5 H  7 2005 600 671 Bon  354
  573  6 H  7 2006 653 680 Bon  445
  573  7 M  9 2007 654 622 Bon  456
  573  8 H 12 2008 638 625 Bon  427
  573  9 M  2 2010 595 NA Bon NA
  579  1 H  7 2002 513 520 Bon  365
  579  2 H  7 2003 463 450 Bon  388
  579  3 H  8 2004 543 550 Bon  345
  579  4 M  7 2005 506 560 Bon  348
  579  5 M  7 2006 547 563 Bon  413
  579  6 M  8 2007 513 492 Bon  392
  579  7 M  9 2008 525 496 Bon  449
  579  8 M 12 2009 517 489 Bon  512
  579  9 H  5 2011 507 530 Bon  340
  579 10 M  4 2012 526 563 Bon  645
  579 11 H  1 2014 520 555 Bon  438
  579 12 M  4 2015 550 NA Bon NA
  580  1 H  3 2002 499 501 Bon  454
  580  2 H  6 2003 535 525 Bon  421
  580  3 H  8 2004 567 565 Bon  353
  580  4 H  7 2005 553 555 Bon  449
  580  5 M 10 2006 590 603 Bon  439
  580  6 M 12 2007 569 566 Bon  600
  580  7 M  8 2009 597 589 Bon  570
  580  8 H  3 2011 554 526 Bon  702
  580  9 M  2 2013 535 NA Bon NA
  582  2 H  4 2003 533 532 Bon  408
  582  3 M  6 2004 538 556 Bon  356
  582  4 M  5 2005 512 512 Bon  429
  582  5 M  7 2006 534 569 Bon  518
  582  6 M 12 2007 610 571 Bon  363
  582  7 M 12 2008 559 561 Bon  569
  582  8 H  7 2010 584 531 Bon  728
  582  9 M  7 2012 600 576 Bon NA
  594  1 M  7 2004 430 428 Bon  489
  594  2 H 12 2005 410 448 Bon  658
  594  3 M  9 2007 496 475 Bon  535
  594  4 M  3 2009 471 452 Bon  670
  594  5 M  1 2011 502 458 Bon  681
  594  6 M 11 2012 506 516 Bon  429
  594  7 M  1 2014 572 479 Bon NA
  595  1 H  7 2004 485 498 Bon  321
  595  2 M  5 2005 465 472 Bon NA
  595  4 H  9 2007 521 512 Bon  367
  595  5 H  9 2008 503 491 Bon  417
  595  6 H 10 2009 540 513 Bon  458
  595  7 H  1 2011 442 498 Bon  514
  595  8 H  6 2012 533 540 Bon  404
  595  9 H  8 2013 564 568 Bon  412
  595 10 M  9 2014 532 467 Bon NA
  600  1 H 10 2013 437 NA Bon NA
  602  1 H  9 2005 427 452 Bon  468
  602  2 H  1 2007 492 546 Bon  357
  602  3 H  1 2008 464 525 Bon  354
  602  4 H 12 2008 480 487 Bon  386
  602  5 M  1 2010 525 507 Bon  382
  602  6 M  1 2011 430 467 Bon NA
  602  8 H  1 2014 470 502 Bon  409
  602  9 H  3 2015 491 NA Bon NA
  603  1 M 11 2005 520 514 Bon  574
  603  2 M  6 2007 540 517 Bon  560
  603  3 H  1 2009 538 565 Bon  610
  603  4 M  9 2010 585 550 Bon  679
  603  5 M  7 2012 640 625 Bon  346
  603  6 M  6 2013 590 605 Bon  399
  603  7 H  8 2014 602 622 Bon NA
  608  1 H 10 2006 439 453 Bon  452
  608  2 M  1 2008 387 417 Bon  724
  608  3 M 12 2009 472 450 Bon NA
  608  5 H 12 2012 564 NA Bon NA
  619  1 M  1 2008 430 450 Bon  378
  619  2 H  2 2009 454 454 Bon  481
  619  3 M  6 2010 516 482 Bon  378
  619  4 M  6 2011 500 523 Bon  691
  619  5 M  5 2013 597 494 Bon  339
  619  6 H  4 2014 550 586 Bon  373
  619  7 H  4 2015 588 NA Bon NA
  623  1 M  4 2008 430 402 Bon  545
  623  2 H 10 2009 460 492 Bon  452
  623  3 M  1 2011 423 444 Bon  669
  623  4 M 11 2012 652 571 Bon  340
  623  5 M 10 2013 526 531 Bon  493
  623  6 H  2 2015 604 NA Bon NA
  624  1 H  2 2008 360 438 Bon  343
  624  2 M  1 2009 NA NA Bon NA
  628  1 H  1 2009 360 NA Bon NA
  629  1 M  1 2009 423 NA Bon NA
  631  1 M  2 2008 340 NA Bon NA
  631  2 H 12 2009 444 NA Bon NA
  632  1 H  7 2009 425 NA Bon  316
  632  2 M  5 2010 495 441 Bon NA
  634  2 H  1 2011 367 378 Bon NA
  635  1 H  7 2010 495 NA Bon NA
  636  1 M  2 2011 445 464 Bon  654
  636  2 H 11 2012 558 582 Bon  413
  636  3 M  1 2014 575 586 Bon  500
  636  4 H  5 2015 594 NA Bon NA
  638  1 M  3 2011 394 372 Bon NA
  638  3 M  8 2014 571 496 Bon NA
  647  1 H  6 2011 414 NA Bon NA
  649  1 M  4 2014 510 495 Bon NA
  652  1 H  7 2011 390 426 Bon  650
  652  2 M  4 2013 530 520 Bon  366
  652  3 M  4 2014 478 494 Bon  502
  652  4 M  8 2015 544 NA Bon NA
  653  1 H  2 2014 537 626 Bon  430
  653  2 H  5 2015 613 NA Bon NA
  659  1 M 10 2013 467 460 Bon  504
  659  2 H  3 2015 499 NA Bon NA
  661  1 H 10 2013 427 431 Bon  472
  661  2 H  2 2015 472 NA Bon NA
  662  2 M  5 2014 480 474 Bon  388
  662  3 M  6 2015 430 NA Bon NA
 1636  1 H 11 1999 465 433 Bon  635
 1636  2 H  8 2001 433 425 Bon  430
 1636  3 M 10 2002 435 438 Bon  402
 1636  4 M 11 2003 455 435 Bon  350
 1636  5 M 10 2004 470 470 Bon  350
 1636  6 H 10 2005 473 471 Bon  540
 1636  7 H  4 2007 471 461 Bon  647
 1636  8 M  1 2009 452 457 Bon NA
 2288  1 H  1 2001 435 425 Bon  722
 2288  2 H 12 2002 455 465 Bon  336
 2288  3 M 12 2003 502 530 Bon  377
 2288  4 M 12 2004 560 553 Bon  450
 2288  5 H  3 2006 563 550 Bon  659
 2288  6 M 12 2007 550 534 Bon  405
 2288  7 H  2 2009 518 538 Bon NA
 2288  8 M NA NA NA NA Bon NA
 3768  1 H  2 2006 369 371 Bon  388
 3768  2 M  3 2007 398 387 Bon  476
 3768  3 H  6 2008 383 NA Bon NA
 4704  1 M 11 2006 365 382 Bon  479
 4704  2 H  3 2008 410 NA Bon NA
 4724  1 M  1 2007 364 405 Bon  427
 4724  2 H  3 2008 400 NA Bon NA
 4766  1 M  1 2007 360 374 Bon NA
 4774  1 M  5 2006 287 NA Bon  560
 4774  2 M 11 2007 363 NA Bon NA
 5444  1 M  8 1996 480 495 Bon  652
 5444  2 M  5 1998 497 501 Bon  331
 5444  3 M  4 1999 471 485 Bon  409
 5444  4 H  6 2000 464 478 Bon  505
 5444  5 H 10 2001 624 632 Bon  358
 5444  6 M 10 2002 535 545 Bon  439
 5444  7 H 12 2003 516 528 Bon  409
 5444  8 H  2 2005 570 538 Bon  421
 5444  9 M  4 2006 490 535 Bon  503
 5444 10 H  8 2007 550 496 Bon  498
 5444 11 H  1 2009 502 NA Bon  536
 5444 12 M  6 2010 525 444 Bon NA
 5744  1 H  4 2008 343 NA Bon NA
 5750  1 M  4 2008 395 NA Bon NA
34633  1 M  7 1996 490 501 Ceb  563
34633  2 M  2 1998 525 535 Ceb  378
34633  3 M  2 1999 603 612 Ceb  587
34633  4 M 10 2000 602 622 Ceb  449
34633  5 H 12 2001 579 589 Ceb  429
34633  6 M  3 2003 584 593 Ceb  708
34633  7 H  2 2005 665 578 Ceb  471
34633  8 H  5 2006 522 542 Ceb  556
34633  9 H 12 2007 570 532 Ceb  464
34633 10 M  3 2009 517 NA Ceb NA
35341  1 M  7 1996 428 430 Ceb  324
35341  2 M  6 1997 502 512 Ceb  349
35341  3 M  5 1998 466 478 Ceb NA
35341  5 H  2 2001 466 455 Ceb NA
35341  7 M  7 2003 500 510 Ceb  660
35341  8 H  4 2005 503 496 Ceb  350
35341  9 M  4 2006 490 486 Ceb  533
35341 10 M  9 2007 480 448 Ceb  562
35341 11 M  4 2009 425 441 Ceb NA
36242  1 M  3 1997 500 530 Ceb  457
36242  2 H  6 1998 588 598 Ceb  471
36242  3 H 10 1999 595 601 Ceb  510
36242  4 M  2 2001 599 612 Ceb  597
36242  5 M 10 2002 640 652 Ceb  482
36242  6 M  2 2004 616 591 Ceb  379
36242  7 H  2 2005 560 564 Ceb  328
36242  8 H  1 2006 520 520 Ceb  399
36242  9 M  2 2007 636 587 Ceb  548
36242 10 H  8 2008 610 571 Ceb  422
36242 11 M 10 2009 563 585 Ceb  431
36242 12 M 12 2010 508 NA Ceb NA
37544  1 M  6 1997 486 502 Ceb  473
37544  2 H 10 1998 539 552 Ceb  480
37544  3 M  1 2000 496 502 Ceb  411
37544  4 H  3 2001 595 602 Ceb  339
37544  5 M  2 2002 621 632 Ceb  388
37544  6 M  3 2003 580 595 Ceb  361
37544  7 M  3 2004 562 570 Ceb  555
37544  8 H  9 2005 590 594 Ceb  384
37544  9 M 10 2006 550 602 Ceb NA
41572  1 M  6 2000 439 450 Ceb  600
41572  2 M  1 2002 566 578 Ceb  402
41572  3 M  3 2003 523 532 Ceb  706
41572  4 M  2 2005 560 530 Ceb  389
41572  5 M  3 2006 482 475 Ceb  521
41572  6 H  8 2007 594 496 Ceb  640
41572  7 M  5 2009 542 472 Ceb NA
41772  4 H  6 2003 459 465 Ceb  421
41772  5 H  8 2004 417 470 Ceb  357
41772  6 H  7 2005 490 446 Ceb  362
41772  7 M  7 2006 408 455 Ceb  406
41772  8 H  9 2007 504 442 Ceb  375
41772  9 H  9 2008 448 448 Ceb  365
41772 10 M  9 2009 447 428 Ceb  494
41772 11 M  1 2011 408 NA Ceb NA
42173  1 M  6 2000 424 435 Ceb  338
42173  2 M  5 2001 491 502 Ceb  475
42173  3 M  9 2002 540 555 Ceb  522
42173  4 H  2 2004 560 564 Ceb  427
42173  5 M  4 2005 545 561 Ceb  416
42173  6 H  5 2006 502 544 Ceb  428
42173  7 M  7 2007 547 521 Ceb  401
42173  8 H 10 2008 463 474 Ceb NA
42373  1 H  8 2000 466 475 Ceb  817
42373  2 M 11 2002 465 472 Ceb  387
42373  3 M 12 2003 550 575 Ceb  417
42373  4 M  1 2005 620 598 Ceb  380
42373  5 H  2 2006 592 635 Ceb  357
42373  6 H  2 2007 636 615 Ceb  332
42373  7 M  1 2008 567 607 Ceb  352
42373  8 M 12 2008 530 NA Ceb NA
43691  3 H 10 2005 575 505 Ceb  498
43691  4 M  2 2007 564 568 Ceb  391
43691  5 M  3 2008 560 530 Ceb  544
43691  6 M  9 2009 539 515 Ceb NA
44393  1 M 10 2002 496 501 Ceb  524
44393  2 H  3 2004 512 550 Ceb  735
44393  3 H  4 2006 570 527 Ceb  506
44393  4 H  8 2007 580 523 Ceb  519
44393  5 H  1 2009 517 494 Ceb NA
44393  7 M 11 2012 604 558 Ceb NA
44902  1 H 10 2002 441 440 Ceb NA
44902  3 M  7 2005 506 465 Ceb  381
44902  4 M  7 2006 460 502 Ceb  378
44902  5 M  8 2007 517 542 Ceb  387
44902  6 M  8 2008 498 445 Ceb  501
44902  7 M  1 2010 470 501 Ceb NA
44902  9 H 12 2011 432 473 Ceb NA
44902 11 M  1 2015 523 489 Ceb NA
45203  1 H  5 2003 447 452 Ceb  489
45203  2 M  9 2004 514 452 Ceb  663
45203  3 M  7 2006 511 514 Ceb  401
45203  4 H  8 2007 520 522 Ceb  384
45203  5 M  9 2008 473 451 Ceb  499
45203  6 H  1 2010 506 495 Ceb NA
45304  1 M  7 2003 473 356 Ceb NA
45304  3 H  1 2006 563 551 Ceb  359
45304  4 M  1 2007 563 567 Ceb  413
45304  5 H  2 2008 596 539 Ceb  343
45304  6 M  2 2009 569 556 Ceb  375
45304  7 A  2 2010 590 NA Ceb NA
45304  9 M  7 2012 615 654 Ceb NA
45504  1 M  7 2003 435 455 Ceb NA
45504  3 H  8 2005 470 473 Ceb  333
45504  4 H  7 2006 498 524 Ceb  506
45504  5 M 12 2007 568 518 Ceb  532
45504  6 H  6 2009 494 535 Ceb  430
45504  7 M  8 2010 523 488 Ceb  504
45504  8 H 12 2011 510 487 Ceb NA
45604  1 M  2 2004 511 521 Ceb  522
45604  2 H  8 2005 553 503 Ceb  364
45604  3 H  8 2006 500 540 Ceb  471
45604  4 H 11 2007 584 538 Ceb NA
45812  1 M  3 2004 426 436 Ceb  481
45812  2 M  7 2005 470 473 Ceb  472
45812  3 H 10 2006 523 548 Ceb  333
45812  4 M  9 2007 538 500 Ceb  551
